City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
udachnyy,90,RU,1567823152,76,66.42,112.4,48.2,13.42
rodez,0,FR,1567823402,75,44.35,2.57,50.0,3.36
miraflores,0,PE,1567823643,20,-16.39,-71.52,55.4,4.7
san carlos de bariloche,4,ML,1567823185,70,13.3,-4.9,79.64,7.85
palana,99,RU,1567823643,92,59.08,159.95,50.08,14.14
abu samrah,75,JP,1567823219,58,34.51,131.49,87.8,21.92
namtsy,0,RU,1567823644,47,62.72,129.66,57.2,13.42
misterbianco,0,IT,1567823644,94,37.52,15.01,73.4,6.93
creel,100,MX,1567823644,93,27.75,-107.63,60.14,0.11
kautokeino,98,NO,1567823645,88,69.01,23.04,39.69,7.61
soyaux,0,FR,1567823645,76,45.64,0.19,55.4,3.36
salaga,100,GH,1567823645,94,8.55,-0.52,70.37,10.16
puerto colombia,20,AR,1567823645,100,-51.62,-69.23,28.4,3.36
vuktyl,90,RU,1567823484,77,63.86,57.31,54.53,10.69
benavente,0,ES,1567823646,56,42.0,-5.67,44.6,3.36
jieshi,0,CN,1567823647,73,22.82,115.83,90.0,4.81
yining,0,CN,1567823647,43,29.04,114.56,90.35,2.06
bonthe,99,SL,1567823647,92,7.53,-12.5,75.8,5.66
rodrigues alves,77,BR,1567823648,97,-24.07,-48.35,55.82,3.87
kalianget,20,ID,1567823648,42,-7.35,109.91,86.0,8.05
pimentel,0,BR,1567823648,86,-3.7,-45.5,74.25,3.51
hashtrud,0,IR,1567823405,90,37.48,47.05,53.91,2.73
fortuna,40,ES,1567823202,73,38.18,-1.13,77.0,6.93
longyearbyen,75,NO,1567823178,69,78.22,15.63,33.8,10.29
tres arroyos,90,IT,1567823649,93,46.32,11.1,57.99,9.17
gedo,77,ET,1567823650,98,9.01,37.45,55.41,0.36
ust-nera,77,RU,1567823650,44,64.57,143.24,43.17,4.43
pinhao,100,BR,1567823650,99,-25.7,-51.66,56.94,3.53
ribeira grande,0,PT,1567823126,72,41.76,-8.56,68.0,4.7
goure,99,NE,1567823651,81,13.98,10.27,75.0,4.0
choix,100,MX,1567823651,93,26.71,-108.33,73.53,0.43
boa vista,98,CM,1567823183,87,4.43,8.97,77.42,6.49
dwarka,40,IN,1567823174,83,28.58,77.04,90.0,6.93
caravelas,100,BR,1567823222,80,-17.73,-39.27,72.31,15.32
ilulissat,81,GL,1567823161,69,69.22,-51.1,35.6,1.12
yacuiba,98,AR,1567823653,83,-22.01,-63.68,58.27,2.06
rochegda,60,RU,1567823653,98,62.67,43.41,50.17,4.21
zhanaozen,93,KZ,1567823653,25,43.35,52.85,63.11,8.14
foz,74,ES,1567823653,1,43.57,-7.26,60.01,5.84
tutoia,4,BR,1567823654,89,-2.76,-42.27,73.77,5.84
vestmannaeyjar,100,IS,1567823654,92,63.44,-20.27,50.78,26.93
buzmeyin,0,TM,1567823654,45,38.05,58.21,62.6,6.93
aden,68,YE,1567823486,71,12.79,45.03,85.43,9.13
santa ines,41,PH,1567823655,81,17.49,120.43,83.69,22.57
bathsheba,20,BB,1567823208,94,13.22,-59.52,77.0,4.7
yaan,63,NG,1567823274,92,7.38,8.57,74.2,4.88
likasi,0,CD,1567823656,45,-10.99,26.74,57.21,8.84
avera,1,US,1567823154,64,33.19,-82.53,78.8,4.7
egvekinot,100,RU,1567823214,52,66.32,-179.17,50.35,1.63
portland,90,US,1567823276,67,43.66,-70.25,59.0,8.05
nichinan,75,JP,1567823657,79,31.65,131.31,86.0,11.41
bhakkar,0,PK,1567823657,27,31.63,71.07,96.99,2.59
basoko,64,CD,1567823657,98,1.23,23.61,69.47,1.23
zaysan,100,KZ,1567823658,40,47.47,84.87,61.01,1.14
mumford,95,GH,1567823658,98,5.26,-0.76,72.22,2.35
west wendover,1,US,1567823659,43,31.8,-97.09,89.01,5.82
khorramshahr,0,IR,1567823659,37,30.43,48.18,86.0,6.93
qena,0,EG,1567823660,42,26.16,32.72,84.2,4.81
fort nelson,100,IN,1567823130,93,17.96,79.61,73.23,14.12
vostok,100,RU,1567823660,81,46.45,135.83,71.37,2.46
andreapol,0,RU,1567823660,94,56.65,32.27,47.27,1.74
kushiro,75,JP,1567823661,82,43.11,144.15,68.0,3.36
filadelfia,100,PY,1567823644,41,-22.35,-60.04,82.23,9.04
timmins,90,CA,1567823661,100,48.48,-81.33,53.6,2.24
mount gambier,40,GB,1567823184,87,53.66,-1.85,55.99,12.75
qasigiannguit,84,GL,1567823661,69,68.82,-51.19,35.6,1.12
invermere,100,CA,1567823662,84,50.51,-116.03,57.99,4.92
hithadhoo,67,MV,1567823154,75,-0.6,73.08,83.36,14.12
lardos,20,GR,1567823524,88,36.09,28.02,75.2,12.75
arman,43,RU,1567823662,60,59.7,150.17,54.15,4.23
taoudenni,11,ML,1567823207,29,22.68,-3.98,90.87,15.9
pagudpud,75,PH,1567823663,94,18.56,120.79,80.6,11.41
buala,100,SB,1567823200,74,-8.15,159.59,83.51,9.91
uyuni,7,BO,1567823442,50,-20.46,-66.82,43.64,6.64
san ignacio,4,ML,1567823664,70,13.3,-4.9,79.64,7.85
lekoni,84,GA,1567823665,83,-1.58,14.26,73.14,5.06
tevaitoa,54,PF,1567823665,74,-16.78,-151.5,74.0,22.46
khor,100,RU,1567823665,81,47.88,134.96,75.14,4.61
grand gaube,0,FR,1567823202,54,48.39,5.49,53.6,5.82
vila franca do campo,0,IT,1567823248,100,45.18,8.4,60.01,2.24
yabelo,100,ET,1567823666,74,4.89,38.09,63.65,9.19
dikson,100,RU,1567823190,94,73.51,80.55,42.72,29.82
ratodero,42,PK,1567823666,79,27.8,68.29,87.8,9.69
georgetown,20,GY,1567822923,78,6.8,-58.16,82.4,6.93
vangaindrano,98,MG,1567823667,89,-23.35,47.6,61.69,10.94
wuan,0,CN,1567823667,36,31.68,112.0,89.03,1.5
piacabucu,17,BR,1567823667,86,-10.41,-36.43,73.46,11.59
dunlop,75,AU,1567823667,46,-35.19,149.02,51.01,28.86
urusha,100,RU,1567823668,76,54.05,122.9,55.08,10.56
chifeng,2,CN,1567823264,46,42.27,118.96,75.1,8.77
caracuaro,100,MX,1567823669,84,19.01,-101.13,67.43,4.05
mezibori,100,CZ,1567823669,81,50.62,13.6,57.2,2.24
cabo san lucas,65,ES,1567823133,93,43.18,-5.8,57.0,1.12
kedgwick,79,CA,1567823669,85,47.65,-67.35,41.82,2.44
yinchuan,78,CN,1567823670,51,38.48,106.21,76.22,4.09
bafra,75,TR,1567823670,64,41.57,35.91,72.0,9.17
dyurtyuli,100,RU,1567823670,90,55.49,54.86,47.69,5.53
peniche,0,PT,1567823671,82,39.36,-9.38,71.6,1.12
canmore,75,CA,1567823671,71,51.09,-115.35,57.2,9.17
okhotsk,100,RU,1567823152,35,59.36,143.24,60.83,2.19
nizwa,83,OM,1567823181,27,22.93,57.53,86.75,0.74
sladkovo,78,RU,1567823672,91,55.53,70.34,51.97,13.76
mandera,99,ET,1567823672,65,3.94,41.86,73.44,9.24
waingapu,0,ID,1567823193,57,-9.65,120.26,82.16,14.14
pogranichnyy,100,RU,1567823673,97,44.41,131.38,67.22,3.04
eydhafushi,100,MV,1567823673,74,5.1,73.07,83.67,9.17
puerto penasco,20,AR,1567823673,100,-51.62,-69.23,28.4,3.36
keti bandar,40,AM,1567823674,82,40.87,43.84,55.4,2.24
lincoln,75,GB,1567823403,87,53.23,-0.54,55.4,6.93
east london,28,UG,1567823200,97,3.43,31.7,64.98,0.25
dudinka,90,RU,1567823674,100,69.41,86.18,48.2,11.18
williston,20,US,1567823675,56,48.15,-103.62,69.8,9.17
ventspils,0,LV,1567823625,93,57.39,21.56,53.6,4.7
longfeng,75,CN,1567823675,94,31.05,103.87,82.99,3.09
dunedin,79,NZ,1567823041,53,-45.87,170.5,51.01,15.01
toora-khem,0,RU,1567823676,50,52.47,96.11,55.37,1.61
yatou,75,CM,1567823676,100,3.63,9.81,75.2,2.24
zhuhai,0,CN,1567823676,33,40.71,112.04,77.0,4.47
imeni poliny osipenko,94,NG,1567823676,99,7.32,5.96,69.21,2.84
nizhniy tsasuchey,40,RU,1567823677,100,45.39,39.24,64.0,4.47
yenagoa,97,NG,1567823271,96,4.92,6.26,72.78,2.46
esperance,0,AU,1567823156,44,-33.86,121.89,60.8,8.05
oriximina,46,BR,1567823277,64,-1.77,-55.87,82.3,4.61
ahipara,64,NZ,1567823208,86,-35.17,173.16,62.01,15.93
rovaniemi,0,FI,1567823678,100,66.5,25.72,37.4,9.17
peabiru,0,BR,1567823678,68,-23.91,-52.35,71.01,10.29
qaqortoq,100,GL,1567823196,46,60.72,-46.03,50.0,4.7
chapais,1,CA,1567823679,81,49.78,-74.86,46.4,4.7
dhemaji,75,IN,1567823680,88,27.48,94.56,82.4,8.05
guadalupe y calvo,20,MX,1567823680,78,25.68,-100.26,80.6,6.93
mwene-ditu,9,CD,1567823680,62,-7.01,23.45,71.54,2.37
salym,27,RU,1567823239,78,60.06,71.48,49.67,4.32
carutapera,40,BR,1567823681,84,-1.2,-46.02,76.86,4.21
faanui,3,PF,1567823184,72,-16.48,-151.75,75.08,21.07
pangnirtung,0,CA,1567823269,65,66.15,-65.72,33.18,3.67
port moresby,87,CD,1567823129,43,-7.04,29.76,64.95,3.2
tuatapere,75,NZ,1567823181,69,-46.13,167.69,50.0,10.0
laguna,90,BZ,1567823183,88,16.17,-88.94,77.0,6.93
mitu,0,IR,1567823682,41,36.2,46.09,55.07,1.74
natal,0,BR,1567823498,83,-5.81,-35.21,73.4,10.29
touros,20,BR,1567823205,88,-5.2,-35.46,73.4,8.05
joensuu,5,FI,1567823683,100,62.6,29.76,46.4,3.36
taltal,47,CL,1567823683,89,-25.41,-70.49,48.01,2.19
kaitangata,91,NZ,1567823220,59,-46.28,169.85,48.99,10.0
seddon,40,AU,1567823683,62,-37.81,144.89,55.0,21.92
balkanabat,0,TM,1567823684,17,39.51,54.36,75.28,4.68
cap malheureux,40,FR,1567823204,71,49.27,-1.21,57.99,6.93
svetlogorsk,40,RU,1567823684,100,53.14,59.15,44.6,6.71
soure,0,PT,1567823684,82,40.06,-8.63,72.0,1.12
vorukh,0,KG,1567823685,39,39.85,70.57,59.69,2.71
lavrentiya,91,RU,1567823150,69,65.58,-170.99,49.95,5.14
saurimo,44,AO,1567823685,44,-9.66,20.4,70.1,5.14
isangel,40,VU,1567823221,47,-19.55,169.27,80.6,11.41
camacha,40,PT,1567823686,77,33.08,-16.33,71.6,12.75
kaeo,5,NZ,1567823155,86,-35.1,173.78,62.01,11.9
maningrida,0,AU,1567823686,49,-12.05,134.23,83.22,14.43
wahpeton,33,US,1567823687,72,46.27,-96.61,61.0,6.17
obregon,75,NI,1567823687,88,11.96,-85.96,78.8,6.93
haines junction,1,US,1567823164,52,44.91,-117.94,78.8,3.36
fort payne,100,IN,1567823687,93,17.96,79.61,73.23,14.12
pangkalanbuun,62,ID,1567823687,51,-2.68,111.62,88.1,4.7
sechura,0,PE,1567823199,88,-5.56,-80.82,62.79,11.27
olinda,40,AU,1567823688,62,-37.84,145.39,55.0,21.92
grindavik,75,IS,1567823224,100,63.84,-22.43,51.8,28.86
nome,1,US,1567823259,69,30.04,-94.42,87.01,3.36
roebourne,0,AU,1567823689,25,-20.77,117.15,80.25,5.68
comodoro rivadavia,0,BR,1567823689,30,-13.66,-59.79,80.25,3.74
talcahuano,90,CL,1567823215,87,-36.72,-73.12,51.8,3.36
maniitsoq,100,GL,1567823690,74,65.42,-52.9,42.02,5.35
lasa,75,CY,1567823690,78,34.92,32.53,78.8,3.36
bunia,2,CD,1567823690,95,1.56,30.25,62.23,2.33
malumfashi,35,NG,1567823691,92,11.79,7.62,70.96,8.08
finnsnes,100,NO,1567823691,93,69.23,17.98,44.6,10.29
novopokrovka,0,UA,1567823691,54,49.84,36.56,57.2,4.47
tabuk,67,PH,1567823691,83,17.41,121.44,74.85,6.06
gouyave,20,GD,1567823692,83,12.16,-61.73,84.2,8.05
vila velha,0,IT,1567823183,100,45.18,8.4,60.01,2.24
neumunster,40,DE,1567823692,87,54.07,9.98,55.99,6.93
manono,25,CD,1567823692,34,-7.3,27.4,72.89,3.38
oyama,75,JP,1567823246,49,36.31,139.8,97.0,5.82
flinders,0,AU,1567823212,35,-34.58,150.85,64.0,32.21
inhambane,0,MZ,1567823693,79,-23.87,35.38,55.55,6.55
murakami,75,JP,1567823693,83,38.29,139.58,89.6,6.93
aitape,100,PG,1567823693,62,-3.15,142.36,85.02,6.73
zabaykalsk,69,CN,1567823694,61,49.64,117.33,70.49,9.19
kudahuvadhoo,1,MV,1567823209,72,2.67,72.89,83.52,9.24
harwich,90,US,1567823694,93,41.69,-70.08,64.4,17.22
plettenberg bay,100,DE,1567823638,87,51.21,7.87,59.0,8.05
uyemskiy,20,RU,1567823695,100,64.47,40.85,51.8,4.47
menomonie,1,US,1567823695,87,44.88,-91.92,64.4,5.86
visnes,69,NO,1567823696,100,59.36,5.22,51.01,6.93
temir,0,KZ,1567823696,67,49.14,57.13,53.37,7.7
lompoc,1,US,1567823182,77,34.64,-120.46,75.0,8.05
las rosas,20,PL,1567823696,76,49.74,19.43,59.0,6.93
zima,96,RU,1567823697,84,53.93,102.05,44.01,8.3
lodja,100,CD,1567823697,86,-3.52,23.6,71.01,1.68
luanda,20,AO,1567823584,94,-8.83,13.24,69.8,3.36
bilma,77,NE,1567823697,30,18.69,12.92,93.51,20.11
ponta delgada,78,BR,1567823698,96,-0.53,-65.05,72.76,2.73
rockport,1,US,1567823698,83,28.02,-97.05,86.0,5.82
sarkand,0,KZ,1567823698,32,45.41,79.91,64.71,3.0
bobo dioulasso,100,NG,1567823699,80,12.29,6.15,78.05,10.65
santa catarina de tepehuanes,41,PH,1567823699,81,17.49,120.43,83.69,22.57
bongandanga,100,CD,1567823278,96,1.51,21.07,72.81,1.45
marfino,40,RU,1567823700,100,56.07,37.56,60.8,2.24
geraldton,90,CA,1567823176,100,49.72,-86.95,53.6,3.36
mazagao,75,BR,1567823700,83,-0.12,-51.29,84.2,11.41
deputatskiy,100,RU,1567823178,87,69.3,139.9,39.12,4.76
atar,60,MR,1567823701,43,20.52,-13.05,90.0,0.56
rawson,100,AR,1567823579,68,-43.3,-65.11,44.64,14.74
gotsu,75,JP,1567823702,58,35.01,132.22,87.8,21.92
payson,40,US,1567823534,69,40.04,-111.73,75.99,8.05
manali,2,IN,1567823703,58,32.25,77.19,44.88,2.06
katikati,1,NZ,1567823703,60,-37.55,175.92,62.01,7.0
urgut,0,UZ,1567823474,38,39.41,67.25,59.0,13.87
mao,40,DO,1567823704,94,19.55,-71.08,81.0,5.82
san rafael,4,ML,1567823664,70,13.3,-4.9,79.64,7.85
duiwelskloof,99,ZA,1567823704,97,-23.69,30.14,46.84,6.71
mercedes,100,UY,1567823705,84,-33.25,-58.03,57.0,4.0
alghero,0,IT,1567823513,72,40.56,8.32,68.0,3.36
palivere,98,EE,1567823705,99,58.97,23.89,57.99,9.89
cam pha,0,AR,1567823705,87,-38.98,-67.82,42.8,2.24
rincon,40,PA,1567823706,83,8.46,-82.28,80.6,1.7
sheridan,75,US,1567823576,72,39.65,-105.03,68.0,10.29
nelson bay,89,CA,1567823706,85,49.49,-117.29,63.0,1.83
mitsamiouli,0,KM,1567823610,77,-11.38,43.28,76.67,28.45
novonikolayevskiy,11,RU,1567823707,89,50.97,42.37,59.0,4.72
jacareacanga,12,BR,1567823707,82,-6.22,-57.76,74.09,0.92
algiers,1,US,1567822899,52,29.94,-90.04,91.4,3.36
abilene,1,US,1567823464,29,32.45,-99.73,89.6,8.05
aroeiras,0,BR,1567823708,93,-7.55,-35.71,66.2,5.82
clovis,20,US,1567823708,16,36.83,-119.7,96.8,13.87
huangmei,2,CN,1567823708,61,30.1,115.95,83.97,3.67
ridgecrest,1,US,1567823708,20,35.62,-117.67,95.0,10.29
ekibastuz,87,KZ,1567823709,61,51.72,75.32,57.41,3.33
wattegama,94,LK,1567823210,69,7.35,80.68,79.58,6.42
rocha,100,UY,1567823179,97,-34.48,-54.34,53.63,8.39
gharghoda,100,IN,1567823711,78,22.18,83.36,82.91,3.2
najran,0,SA,1567823711,19,17.54,44.22,78.8,6.93
cabedelo,0,BR,1567823711,100,-6.97,-34.84,69.8,8.05
kukes,94,AL,1567823711,87,42.08,20.42,58.07,6.02
sao felix do xingu,99,IN,1567823223,91,20.51,76.21,73.95,6.4
san andres,4,ML,1567823712,70,13.3,-4.9,79.64,7.85
kawalu,77,ID,1567823158,60,-7.38,108.21,77.03,6.98
ranot,0,TH,1567823712,46,7.78,100.32,91.26,5.91
muroto,75,JP,1567823712,70,33.37,134.14,86.0,13.87
roma,0,IT,1567823572,72,41.89,12.48,66.2,5.82
saint-philippe,90,CA,1567823166,67,45.36,-73.48,64.99,9.17
zyryanka,88,RU,1567823713,36,65.73,150.89,50.58,6.08
parrita,90,CR,1567823713,100,9.52,-84.33,72.0,2.24
elayirampannai,40,IN,1567823714,66,9.27,77.83,86.0,11.41
reitz,2,ZA,1567823714,96,-27.8,28.43,37.57,6.71
gaimersheim,90,DE,1567823714,100,48.81,11.37,55.4,0.83
puerto narino,20,AR,1567823645,100,-51.62,-69.23,28.4,3.36
dortyol,40,TR,1567823715,73,36.86,36.23,77.0,8.05
tarauaca,29,BR,1567823715,89,-8.16,-70.77,71.84,3.47
aksu,0,KZ,1567823715,100,52.04,76.93,48.2,2.24
gizo,20,IL,1567823715,78,31.8,34.94,75.2,3.36
jumla,58,NP,1567823716,83,29.28,82.18,60.95,3.31
shihezi,26,CN,1567823716,40,44.3,86.03,70.98,12.57
vestmanna,86,FO,1567823716,70,62.16,-7.17,44.6,4.7
guerrero negro,0,AR,1567823229,71,-24.19,-65.45,51.8,8.05
numata,26,JP,1567823717,50,36.65,139.04,93.0,4.0
tokur,76,RU,1567823717,93,53.13,132.9,60.63,3.96
paka,97,CF,1567823717,99,4.15,15.03,66.78,0.89
alice springs,0,ZA,1567823267,86,-32.79,26.83,42.61,0.63
beloha,100,MG,1567823718,67,-25.17,45.06,59.73,20.56
yura,75,JP,1567823718,59,33.96,135.12,91.0,12.75
tecoanapa,75,MX,1567823719,74,16.99,-99.26,84.2,4.7
dzerzhinskoye,0,RU,1567823719,52,56.84,95.22,54.9,3.27
cockburn town,40,AU,1567823161,46,-32.08,141.0,53.6,19.46
